scope,precision,M,backend,device_id,frontend_third_last_us,frontend_second_last_us,frontend_last_us,frontend_median_us,mega_third_last_us,mega_second_last_us,mega_last_us,mega_median_us,target_third_last_us,target_second_last_us,target_last_us,target_median_us,report
e2e,mxfp4,2,fused,0,14.08,13.6,13.44,13.6,119.743,112.224,133.855,119.743,134.111,126.112,147.583,134.111,e2e_fused_mxfp4_M2.nsys-rep
e2e,mxfp4,2,split,0,13.728,13.568,13.952,13.728,124.127,105.535,123.231,123.231,137.919,119.167,137.247,137.247,e2e_split_mxfp4_M2.nsys-rep
e2e,mxfp4,8,fused,0,13.6,13.664,13.664,13.664,140.095,137.951,136.287,137.951,153.983,151.903,150.207,151.903,e2e_fused_mxfp4_M8.nsys-rep
e2e,mxfp4,8,split,0,13.407,13.76,13.824,13.76,102.816,114.24,108.096,108.096,116.287,128.064,121.984,121.984,e2e_split_mxfp4_M8.nsys-rep
e2e,mxfp4,16,fused,0,13.792,13.824,13.952,13.824,128.511,129.567,124.159,128.511,142.559,143.679,138.399,142.559,e2e_fused_mxfp4_M16.nsys-rep
e2e,mxfp4,16,split,0,13.792,13.536,14.208,13.792,147.455,145.375,132.735,145.375,161.311,158.975,147.039,158.975,e2e_split_mxfp4_M16.nsys-rep
e2e,qoq,2,fused,0,14.176,14.432,14.495,14.432,87.072,84.352,87.168,87.072,101.536,99.072,101.919,101.536,e2e_fused_qoq_M2.nsys-rep
e2e,qoq,2,split,0,14.528,14.464,14.368,14.464,100.256,95.104,87.775,95.104,114.848,109.664,102.207,109.664,e2e_split_qoq_M2.nsys-rep
e2e,qoq,8,fused,0,14.24,14.976,13.952,14.24,102.815,97.984,101.599,101.599,117.343,113.248,115.807,115.807,e2e_fused_qoq_M8.nsys-rep
e2e,qoq,8,split,0,14.336,14.368,14.56,14.368,98.111,110.719,96.0,98.111,112.575,125.183,110.656,112.575,e2e_split_qoq_M8.nsys-rep
e2e,qoq,16,fused,0,14.72,14.272,14.591,14.591,164.927,144.191,129.568,144.191,179.935,158.751,144.447,158.751,e2e_fused_qoq_M16.nsys-rep
e2e,qoq,16,split,0,14.24,14.848,14.336,14.336,137.055,151.839,143.391,143.391,151.391,166.783,157.855,157.855,e2e_split_qoq_M16.nsys-rep
mega,mxfp4,2,fused,0,,,,,65.12,61.567,66.464,65.12,65.12,61.567,66.464,65.12,mega_fused_mxfp4_M2.nsys-rep
mega,mxfp4,2,split,0,,,,,52.96,53.087,59.2,53.087,52.96,53.087,59.2,53.087,mega_split_mxfp4_M2.nsys-rep
mega,mxfp4,8,fused,0,,,,,91.616,88.191,85.472,88.191,91.616,88.191,85.472,88.191,mega_fused_mxfp4_M8.nsys-rep
mega,mxfp4,8,split,0,,,,,96.607,96.255,97.152,96.607,96.607,96.255,97.152,96.607,mega_split_mxfp4_M8.nsys-rep
mega,mxfp4,16,fused,0,,,,,116.351,122.047,116.543,116.543,116.351,122.047,116.543,116.543,mega_fused_mxfp4_M16.nsys-rep
mega,mxfp4,16,split,0,,,,,121.184,126.4,127.264,126.4,121.184,126.4,127.264,126.4,mega_split_mxfp4_M16.nsys-rep
mega,qoq,2,fused,0,,,,,69.056,73.664,75.935,73.664,69.056,73.664,75.935,73.664,mega_fused_qoq_M2.nsys-rep
mega,qoq,2,split,0,,,,,100.992,107.967,110.047,107.967,100.992,107.967,110.047,107.967,mega_split_qoq_M2.nsys-rep
mega,qoq,8,fused,0,,,,,94.528,90.879,93.824,93.824,94.528,90.879,93.824,93.824,mega_fused_qoq_M8.nsys-rep
mega,qoq,8,split,0,,,,,93.664,123.808,122.016,122.016,93.664,123.808,122.016,122.016,mega_split_qoq_M8.nsys-rep
mega,qoq,16,fused,0,,,,,125.311,141.663,140.127,140.127,125.311,141.663,140.127,140.127,mega_fused_qoq_M16.nsys-rep
mega,qoq,16,split,0,,,,,121.023,111.743,114.335,114.335,121.023,111.743,114.335,114.335,mega_split_qoq_M16.nsys-rep
