scope,backend,quant,M,report,frontend_us,router_us,quant_us,l1_us,l2_us,mega_span_us,target_span_us
e2e,fused,mxfp4,2,e2e_fused_mxfp4_M2.nsys-rep,13.707875,,,,,116.895125,130.970875
e2e,split,mxfp4,2,e2e_split_mxfp4_M2.nsys-rep,13.672,,,50.44375,63.771249999999995,115.47525,129.227
e2e,fused,mxfp4,8,e2e_fused_mxfp4_M8.nsys-rep,13.672,,,,,125.138875,139.286875
e2e,split,mxfp4,8,e2e_split_mxfp4_M8.nsys-rep,13.82,,,63.743625,51.4955,109.77125000000001,123.71124999999999
e2e,fused,mxfp4,16,e2e_fused_mxfp4_M16.nsys-rep,13.728,,,,,125.04325,139.147125
e2e,split,mxfp4,16,e2e_split_mxfp4_M16.nsys-rep,13.676,,,64.66737499999999,67.383375,137.355,151.055
e2e,fused,qoq,2,e2e_fused_qoq_M2.nsys-rep,14.435875000000001,,,,,94.3235,109.087375
e2e,split,qoq,2,e2e_split_qoq_M2.nsys-rep,14.471875,,,45.551875,53.379625,94.77125,109.411125
e2e,fused,qoq,8,e2e_fused_qoq_M8.nsys-rep,14.459875,,,,,98.29125,112.943
e2e,split,qoq,8,e2e_split_qoq_M8.nsys-rep,14.396,,,54.523625,42.423875,93.571375,108.019375
e2e,fused,qoq,16,e2e_fused_qoq_M16.nsys-rep,14.4715,,,,,138.975,153.69875
e2e,split,qoq,16,e2e_split_qoq_M16.nsys-rep,14.543875,,,78.84725,56.139375,134.70725,149.339125
mega,fused,mxfp4,2,mega_fused_mxfp4_M2.nsys-rep,,,,,,65.9395,65.9395
mega,split,mxfp4,2,mega_split_mxfp4_M2.nsys-rep,,,,35.77975,19.655874999999998,56.119625,56.119625
mega,fused,mxfp4,8,mega_fused_mxfp4_M8.nsys-rep,,,,,,89.85525,89.85525
mega,split,mxfp4,8,mega_split_mxfp4_M8.nsys-rep,,,,99.303375,34.195499999999996,133.814875,133.814875
mega,fused,mxfp4,16,mega_fused_mxfp4_M16.nsys-rep,,,,,,125.290875,125.290875
mega,split,mxfp4,16,mega_split_mxfp4_M16.nsys-rep,,,,78.123625,47.735875,126.23125,126.23125
mega,fused,qoq,2,mega_fused_qoq_M2.nsys-rep,,,,,,72.299375,72.299375
mega,split,qoq,2,mega_split_qoq_M2.nsys-rep,,,,79.507375,18.095750000000002,98.375125,98.375125
mega,fused,qoq,8,mega_fused_qoq_M8.nsys-rep,,,,,,92.0475,92.0475
mega,split,qoq,8,mega_split_qoq_M8.nsys-rep,,,,82.395625,30.183875,112.635375,112.635375
mega,fused,qoq,16,mega_fused_qoq_M16.nsys-rep,,,,,,134.85125,134.85125
mega,split,qoq,16,mega_split_qoq_M16.nsys-rep,,,,77.25125,38.943875,116.867125,116.867125
