scope,backend,quant,M,report,frontend_us,router_us,quant_us,l1_us,l2_us,mega_span_us,target_span_us
e2e,fused,mxfp4,2,e2e_fused_mxfp4_M2.nsys-rep,2.848,,,,,87.324,90.44
e2e,split,mxfp4,2,e2e_split_mxfp4_M2.nsys-rep,2.992,,,43.124,63.820125,107.464125,110.528
e2e,fused,mxfp4,8,e2e_fused_mxfp4_M8.nsys-rep,2.86,,,,,91.95175,95.09975
e2e,split,mxfp4,8,e2e_split_mxfp4_M8.nsys-rep,2.984,,,64.415875,51.215875,119.039875,122.035875
e2e,fused,mxfp4,16,e2e_fused_mxfp4_M16.nsys-rep,13.584,,,,,161.356,175.10399999999998
e2e,split,mxfp4,16,e2e_split_mxfp4_M16.nsys-rep,13.588,,,80.331875,66.931875,148.74,162.45600000000002
e2e,fused,qoq,2,e2e_fused_qoq_M2.nsys-rep,184.939875,6.98,177.856,,,86.736125,271.716
e2e,split,qoq,2,e2e_split_qoq_M2.nsys-rep,184.84,7.088,177.684,80.863875,53.160125,134.444,319.24399999999997
e2e,fused,qoq,8,e2e_fused_qoq_M8.nsys-rep,184.436,7.036,177.292125,,,98.188,282.83175
e2e,split,qoq,8,e2e_split_qoq_M8.nsys-rep,184.216,7.068,177.076125,51.840125,43.168,96.232,280.836
e2e,fused,qoq,16,e2e_fused_qoq_M16.nsys-rep,184.792,7.0120000000000005,177.671875,,,163.951875,348.871875
e2e,split,qoq,16,e2e_split_qoq_M16.nsys-rep,184.351875,7.063875,177.208125,70.408,57.039875,126.103875,310.664
mega,fused,mxfp4,2,mega_fused_mxfp4_M2.nsys-rep,,,,,,65.887875,65.887875
mega,split,mxfp4,2,mega_split_mxfp4_M2.nsys-rep,,,,34.775999999999996,19.567999999999998,54.967999999999996,54.967999999999996
mega,fused,mxfp4,8,mega_fused_mxfp4_M8.nsys-rep,,,,,,89.70400000000001,89.70400000000001
mega,split,mxfp4,8,mega_split_mxfp4_M8.nsys-rep,,,,85.231875,35.831875,121.66387499999999,121.66387499999999
mega,fused,mxfp4,16,mega_fused_mxfp4_M16.nsys-rep,,,,,,118.891875,118.891875
mega,split,mxfp4,16,mega_split_mxfp4_M16.nsys-rep,,,,77.671875,48.24,126.171875,126.171875
mega,fused,qoq,2,mega_fused_qoq_M2.nsys-rep,,,,,,69.515875,69.515875
mega,split,qoq,2,mega_split_qoq_M2.nsys-rep,,,,33.199875,17.856,51.495875,51.495875
mega,fused,qoq,8,mega_fused_qoq_M8.nsys-rep,,,,,,95.052,95.052
mega,split,qoq,8,mega_split_qoq_M8.nsys-rep,,,,59.548,30.112,90.464,90.464
mega,fused,qoq,16,mega_fused_qoq_M16.nsys-rep,,,,,,122.88012499999999,122.88012499999999
mega,split,qoq,16,mega_split_qoq_M16.nsys-rep,,,,75.28775,38.724000000000004,114.70375,114.70375
